nepali,romanized,english,category,difficulty,audio_url
म को हुँ?,ma ko hu,Who am I?,introduction,1,
तपाईंको नाम के हो?,tapaaiko naam ke ho,What is your name?,introduction,1,
मेरो नाम... हो,mero naam... ho,My name is...,introduction,1,
तपाई कहाँबाट हुनुहुन्छ?,tapaai kahaabata hunuhunchha,Where are you from?,introduction,1,
म नेपालबाट हुँ,ma nepalbata hu,I am from Nepal,introduction,1,
तपाईलाई भेटेर खुसी लाग्यो,tapaaila bhetera khushi lagyo,Nice to meet you,greetings,1,
फेरि भेटौंला,pheri bhetaula,See you again,greetings,1,
सुभ प्रभात,subha prabhaat,Good morning,greetings,1,
शुभ दिन,shubha din,Good day,greetings,1,
शुभ रात्री,shubha raatri,Good night,greetings,1,
कस्तो छ?,kasto chha,How are you?,greetings,1,
म सञ्चै छु,ma sanchai chhu,I am fine,greetings,1,
तपाई कस्तो हुनुहुन्छ?,tapaai kasto hunuhunchha,How are you? (formal),greetings,1,
तिमी कस्तो छौ?,timi kasto chhau,How are you? (informal),greetings,1,
हजुर?,hajur,Yes? (polite),greetings,1,
माफ गर्नुहोस्,maaf garnuhos,Sorry / Excuse me,apology,1,
कृपया,kripaya,Please,polite,1,
सबैलाई नमस्कार,sabailai namaskaar,Greetings to everyone,greetings,1,
जय नेपाल,jai nepal,Victory to Nepal,patriotic,1,
बिदा,bida,Goodbye,farewell,1,
भोलि भेटौंला,bholi bhetaula,See you tomorrow,farewell,1,
पछि भेटौंला,pachhi bhetaula,See you later,farewell,1,
म जानु पर्छ,ma jaanu parchha,I have to go,departure,1,
तपाईको स्वास्थ्य कस्तो छ?,tapaaiko swasthya kasto chha,How is your health?,health,1,
म बिरामी छु,ma biraami chhu,I am sick,health,2,
मलाई टाउको दुख्छ,malai tauko dukhchha,I have a headache,health,2,
मलाई पेट दुख्छ,malai pet dukhchha,I have a stomach ache,health,2,
अस्पताल कहाँ छ?,aspataal kahaa chha,Where is the hospital?,emergency,2,
मलाई डाक्टर चाहिन्छ,malai doctor chahinchha,I need a doctor,emergency,2,
एम्बुलेन्स बोलाउनुहोस्,ambulance bolaaunuhos,Call an ambulance,emergency,2,
आगो लाग्यो,aago lagyo,There is a fire,emergency,3,
चोर!,chor,Thief!,emergency,3,
कोही छ?,kohi chha,Is anyone there?,emergency,2,
मलाई एकलै छोडिदिनुहोस्,malai ekalai chodidinuhos,Leave me alone,safety,2,
म हराएको छु,ma haraeko chhu,I am lost,emergency,2,
मलाई बाटो देखाउनुहोस्,malai baato dekhaunuhos,Show me the way,directions,1,
यो कहाँ जान्छ?,yo kahaa jaanchha,Where does this go?,directions,1,
सीधा जानुहोस्,sidha jaanuhos,Go straight,directions,1,
दाँया मोड्नुहोस्,daaya modnuhos,Turn right,directions,1,
बाँया मोड्नुहोस्,baaya modnuhos,Turn left,directions,1,
यहाँ रोक्नुहोस्,yahaa roknuhos,Stop here,directions,1,
त्यो कति टाढा छ?,tyo kati tadhaa chha,How far is that?,distance,1,
यो नजिकै छ,yo jiikai chha,This is nearby,distance,1,
त्यो धेरै टाढा छ,tyo dherai tadhaa chha,That is very far,distance,2,
कति बज्यो?,kati bajyo,What time is it?,time,1,
बिहान छ बज्यो,bihaan chha bajyo,It is 6 AM,time,1,
अहिले केही बज्यो?,ahile kehi bajyo,What time is it now?,time,1,
म ढिलो भएँ,ma dhilo bhaye,I am late,time,1,
चाँडो आउनुहोस्,chaado aaunuhos,Come quickly,urgency,1,
बिस्तारै बोल्नुहोस्,bistarai bolnuhos,Speak slowly,communication,1,
म बुझिन,ma bujhina,I don't understand,communication,1,
फेरि भन्नुहोस्,pheri bhannuhos,Say it again,communication,1,
तपाईं अङ्ग्रेजी बोल्नुहुन्छ?,tapaai angreji bolnuhunchha,Do you speak English?,language,1,
म नेपाली सिक्दैछु,ma nepali sikdaichhu,I am learning Nepali,language,1,
यो के हो?,yo ke ho,What is this?,question,1,
त्यो के हो?,tyo ke ho,What is that?,question,1,
कति हुन्छ?,kati hunchha,How much is it?,shopping,1,
महंगो छ,mahango chha,It is expensive,shopping,2,
सस्तो छ,sasto chha,It is cheap,shopping,1,
छुट दिनुहोस्,chhut dinuhos,Give a discount,shopping,2,
म किन्छु,ma kinchhu,I will buy it,shopping,1,
म किन्दिन,ma kindina,I won't buy it,shopping,1,
यो देखाउनुहोस्,yo dekhaaunuhos,Show me this,shopping,1,
अर्को देखाउनुहोस्,arko dekhaaunuhos,Show me another,shopping,1,
बिल दिनुहोस्,bil dinuhos,Give me the bill,restaurant,1,
मेनु दिनुहोस्,menu dinuhos,Give me the menu,restaurant,1,
पानी दिनुहोस्,paani dinuhos,Give me water,restaurant,1,
मलाई... चाहिन्छ,malai... chahinchha,I need...,needs,1,
मलाई मन पर्यो,malai man paryo,I liked it,opinion,1,
मलाई मन परेन,malai man parena,I didn't like it,opinion,1,
धेरै राम्रो,dherai ramro,Very good,compliment,1,
धेरै नराम्रो,dherai naramro,Very bad,complaint,1,
एकदमै मीठो,ekdamai mitho,Very delicious,food,1,
एकदमै तातो,ekdamai taato,Very hot,temperature,1,
एकदमै चिसो,ekdamai chiso,Very cold,temperature,1,
मौसम कस्तो छ?,mausam kasto chha,How is the weather?,weather,1,
पानी परिरहेको छ,paani pariraeko chha,It is raining,weather,1,
घाम लागेको छ,ghaam laageko chha,It is sunny,weather,1,
हावा चलिरहेको छ,haawaa chaliraeko chha,Wind is blowing,weather,2,
चिसो छ,chiso chha,It is cold,weather,1,
तातो छ,taato chha,It is hot,weather,1,
तपाईको परिवार कति जना छन्?,tapaaiko pariwar kati jana chhan,How many people are in your family?,family,2,
मेरो परिवार चार जना छ,mero pariwar chaar jana chha,There are four people in my family,family,2,
तपाईको काम के हो?,tapaaiko kaam ke ho,What is your job?,work,2,
म विद्यार्थी हुँ,ma vidyarthi hu,I am a student,work,1,
म काम गर्छु,ma kaam garchhu,I work,work,1,
म घरमा छु,ma gharma chhu,I am at home,location,1,
तपाई कहाँ हुनुहुन्छ?,tapaai kahaa hunuhunchha,Where are you?,location,1,
म काठमाडौंमा छु,ma kaathmaandauma chhu,I am in Kathmandu,location,1,
तपाई कहाँ जानुहुन्छ?,tapaai kahaa jaanuhunchha,Where are you going?,travel,1,
म बजार जान्छु,ma bajaar jaanchhu,I am going to the market,travel,1,
तपाई कहाँबाट आउनुभयो?,tapaai kahaabata aaunubhayo,Where did you come from?,travel,2,
म विद्यालयबाट आएँ,ma vidyaalayabata aaye,I came from school,travel,2,
फोटो खिच्न मिल्छ?,photo khichna milchha,Can I take a photo?,permission,2,
यहाँ बस्न मिल्छ?,yahaa basna milchha,Can I sit here?,permission,1,
यो खान मिल्छ?,yo khana milchha,Can I eat this?,permission,1,
धन्यवाद धेरै धेरै,dhanyabad dherai dherai,Thank you very much,gratitude,1,